No.,Time,Delta,Source,Destination,Protocol,Length,Data Length,Source Port,Destination Port,Data,Info
480490,18934.79,0.04,::239:39:39:39,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480493,18934.86,0.07,::239:39:39:39,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480495,18934.92,0.06,::20d:d:d:d,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480500,18934.99,0.07,::239:39:39:39,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480504,18935.06,0.07,::20d:d:d:d,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480507,18935.09,0.03,::239:39:39:39,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480511,18935.21,0.12,::239:39:39:39,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480517,18935.37,0.16,::239:39:39:39,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480522,18935.46,0.09,::201:1:1:1,::20d:d:d:d,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480524,18935.47,0.01,::201:1:1:1,::20d:d:d:d,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480526,18935.58,0.11,::201:1:1:1,::20d:d:d:d,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480528,18935.66,0.08,::201:1:1:1,::20d:d:d:d,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480531,18935.67,0.01,::201:1:1:1,::20d:d:d:d,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480534,18936.04,0.37,::201:1:1:1,::239:39:39:39,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480536,18936.05,0.01,::225:25:25:25,::201:1:1:1,UDP,42,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480538,18936.06,0.01,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480540,18936.17,0.11,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480542,18936.2,0.03,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480545,18936.36,0.16,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480548,18936.37,0.01,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480550,18936.47,0.1,::201:1:1:1,::239:39:39:39,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480552,18936.55,0.08,::201:1:1:1,::225:25:25:25,UDP,107,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480554,18936.89,0.34,::22c:2c:2c:2c,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480556,18936.96,0.07,::22c:2c:2c:2c,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480558,18937.13,0.17,::22c:2c:2c:2c,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480560,18937.27,0.14,::22c:2c:2c:2c,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480562,18937.5,0.23,::201:1:1:1,::22c:2c:2c:2c,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480564,18937.51,0.01,::201:1:1:1,::22c:2c:2c:2c,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480566,18937.62,0.11,::201:1:1:1,::22c:2c:2c:2c,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480568,18937.7,0.08,::201:1:1:1,::22c:2c:2c:2c,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480571,18938.33,0.63,::213:13:13:13,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480573,18938.36,0.03,::213:13:13:13,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480575,18938.43,0.07,::213:13:13:13,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480577,18938.56,0.13,::213:13:13:13,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480579,18938.66,0.1,::213:13:13:13,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480581,18938.78,0.12,::213:13:13:13,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480588,18938.94,0.16,::213:13:13:13,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480595,18939.1,0.16,::201:1:1:1,::213:13:13:13,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480598,18939.12,0.02,::201:1:1:1,::213:13:13:13,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480605,18939.23,0.11,::201:1:1:1,::213:13:13:13,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480608,18939.26,0.03,::201:1:1:1,::213:13:13:13,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480617,18939.42,0.16,::201:1:1:1,::213:13:13:13,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480619,18939.43,0.01,::201:1:1:1,::213:13:13:13,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480621,18939.51,0.08,::201:1:1:1,::213:13:13:13,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480631,18939.9,0.39,::21f:1f:1f:1f,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480637,18940.06,0.16,::21f:1f:1f:1f,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480641,18940.19,0.13,::21f:1f:1f:1f,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480647,18940.31,0.12,::21f:1f:1f:1f,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480649,18940.47,0.16,::21f:1f:1f:1f,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480651,18940.97,0.5,::201:1:1:1,::21f:1f:1f:1f,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480653,18940.99,0.02,::201:1:1:1,::21f:1f:1f:1f,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480655,18941.1,0.11,::201:1:1:1,::21f:1f:1f:1f,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
