No.,Time,Delta,Source,Destination,Protocol,Length,Data Length,Source Port,Destination Port,Data,Info
1104773,38135.56,0.02,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104783,38135.66,0.1,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104785,38135.71,0.05,::201:1:1:1,::239:39:39:39,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104787,38135.73,0.02,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104789,38135.76,0.03,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104791,38135.83,0.07,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104801,38135.9,0.07,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104803,38135.93,0.03,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104805,38136.03,0.1,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104808,38136.07,0.04,::225:25:25:25,::201:1:1:1,UDP,51,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104814,38136.07,0,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104815,38136.07,0,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104817,38136.2,0.13,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104819,38136.24,0.04,::225:25:25:25,::201:1:1:1,UDP,51,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104821,38136.28,0.04,::225:25:25:25,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104832,38136.33,0.05,::225:25:25:25,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104834,38136.41,0.08,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104836,38136.46,0.05,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104838,38136.5,0.04,::225:25:25:25,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104848,38136.58,0.08,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104850,38136.59,0.01,::201:1:1:1,::239:39:39:39,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104852,38136.61,0.02,::225:25:25:25,::201:1:1:1,UDP,52,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104854,38136.63,0.02,::201:1:1:1,::239:39:39:39,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104864,38136.76,0.13,::201:1:1:1,::239:39:39:39,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104866,38136.82,0.06,::22c:2c:2c:2c,::201:1:1:1,UDP,51,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104868,38136.87,0.05,::22c:2c:2c:2c,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104872,38136.99,0.12,::22c:2c:2c:2c,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104879,38137.03,0.04,::22c:2c:2c:2c,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104881,38137.07,0.04,::201:1:1:1,::225:25:25:25,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104883,38137.08,0.01,::22c:2c:2c:2c,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104885,38137.09,0.01,::201:1:1:1,::225:25:25:25,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104887,38137.12,0.03,::22c:2c:2c:2c,::201:1:1:1,UDP,52,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104889,38137.14,0.02,::201:1:1:1,::225:25:25:25,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104896,38137.24,0.1,::201:1:1:1,::225:25:25:25,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104898,38137.26,0.02,::201:1:1:1,::225:25:25:25,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104899,38137.26,0,::201:1:1:1,::225:25:25:25,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104900,38137.43,0.17,::201:1:1:1,::225:25:25:25,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104901,38137.43,0,::201:1:1:1,::225:25:25:25,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104907,38137.58,0.15,::201:1:1:1,::22c:2c:2c:2c,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104918,38137.72,0.14,::201:1:1:1,::22c:2c:2c:2c,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104922,38137.75,0.03,::201:1:1:1,::22c:2c:2c:2c,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104924,38137.77,0.02,::201:1:1:1,::225:25:25:25,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104925,38137.77,0,::201:1:1:1,::225:25:25:25,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104929,38137.84,0.07,::201:1:1:1,::22c:2c:2c:2c,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104934,38137.88,0.04,::201:1:1:1,::22c:2c:2c:2c,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104937,38137.89,0.01,::201:1:1:1,::22c:2c:2c:2c,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104947,38137.93,0.04,::201:1:1:1,::22c:2c:2c:2c,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
